faces_left_faces_right_aesth,faces_left_faces_right_normal,faces_left_words_left_aesth,faces_left_words_left_normal,faces_left_words_right_aesth,faces_left_words_right_normal,faces_right_words_left_aesth,faces_right_words_left_normal,faces_right_words_right_aesth,faces_right_words_right_normal,words_left_words_right_aesth,words_left_words_right_normal
0.15166666667028,0.488333333332018,0.158333333335274,0.163333333337808,0.486666666665769,10.2249999999988,0.16166666666777,20.3083333333325,0.174999999997757,0.165000000000267,0.159999999997732,0.160000000001522
0.154999999998987,0.493333333338342,0.159999999997732,16.4050000000013,0.4950000000008,14.7550000000024,0.336666666665527,23.3249999999998,20.8066666666658,43.3749999999994,0.160000000001522,0.496666666667049
0.16166666666777,17.1566666666649,0.160000000001522,16.6583333333316,49.5150000000043,23.8149999999981,35.8166666666648,26.7066666666665,41.4216666666637,48.911666666667,0.493333333334552,10.5816666666669
0.168333333332763,23.6033333333315,0.163333333330229,17.4333333333342,53.0983333333362,45.2233333333349,36.0766666666639,44.7249999999978,49.6683333333332,56.1183333333323,16.6000000000016,13.9699999999986
0.336666666665527,24.3966666666703,25.9933333333341,37.485,55.0200000000018,52.2733333333349,46.3799999999992,47.0050000000015,49.9666666666675,64.4966666666657,17.9916666666638,28.3733333333316
0.4950000000008,32.9949999999978,44.4899999999999,50.2166666666691,57.2116666666678,55.4866666666688,50.8649999999989,47.5233333333335,63.8416666666672,65.6199999999975,22.4100000000021,44.498333333335
0.4950000000008,42.7483333333309,50.2116666666666,51.9049999999993,59.9916666666672,57.968333333334,51.0533333333304,68.8900000000027,66.4499999999975,71.3566666666642,45.9033333333309,49.4133333333328
31.6700000000007,43.0966666666639,50.3383333333356,52.5299999999978,63.0283333333333,58.8799999999992,56.9266666666673,72.2150000000018,67.1849999999987,74.1716666666699,46.1066666666663,52.5750000000016
65.2199999999993,57.5866666666646,58.2749999999995,54.71,66.3616666666674,59.7666666666707,65.7999999999978,75.3383333333318,67.4933333333305,78.3600000000016,47.9949999999993,53.6550000000034
65.5016666666635,69.1283333333331,63.8449999999997,63.3833333333352,66.6066666666666,61.1483333333354,68.2900000000018,78.6716666666659,68.6566666666673,80.8016666666655,55.1966666666658,54.701666666665
66.4116666666663,69.3783333333348,64.6866666666635,67.9933333333338,68.1150000000002,61.3300000000019,68.6216666666648,81.6416666666631,68.9550000000054,80.8650000000019,56.3883333333327,55.4899999999975
70.0483333333333,69.8050000000004,65.2600000000007,71.6633333333334,71.2983333333341,66.9366666666671,69.1533333333306,85.5533333333331,71.438333333333,80.8783333333319,58.6550000000026,68.926666666664
73.3066666666635,70.341666666665,73.8216666666669,75.2183333333278,81.9950000000025,69.4616666666661,72.7200000000001,86.3316666666643,78.5566666666682,82.1733333333327,97.7750000000015,100.06166666667
79.0999999999978,70.498333333334,80.0083333333343,80.8366666666681,90.3083333333333,70.8433333333346,72.7700000000027,91.0250000000019,84.4950000000002,82.9933333333353,106.665000000002,103.565000000003
81.1299999999998,70.7433333333332,84.36,81.3050000000013,91.175000000006,73.0450000000019,76.0483333333317,91.1800000000009,84.699999999998,90.8283333333316,106.730000000001,103.603333333335
84.218333333331,70.8900000000009,87.4166666666648,82.7383333333349,111.895,84.7466666666681,78.8300000000011,93.9000000000002,102.128333333333,98.5266666666651,115.884999999999,104.09
85.8266666666661,73.0566666666656,89.4383333333356,86.4533333333346,112.253333333335,88.3133333333338,87.2916666666697,95.2866666666675,102.170000000001,98.6700000000004,125.470000000003,121.941666666669
87.0150000000043,73.3150000000023,89.4416666666681,95.8599999999933,124.388333333332,88.3766666666664,87.48666666667,96.3050000000029,119.171666666667,99.666666666667,130.235000000001,129.666666666666
90.0466666666678,75.8550000000014,90.5483333333336,100.518333333336,144.218333333333,90.5133333333348,100.53,99.4383333333341,148.828333333336,136.363333333334,160.225000000003,140.493333333332
99.7166666666658,78.2900000000003,105.851666666664,103.673333333336,147.156666666664,92.4166666666679,102.194999999999,101.591666666669,151.593333333335,139.181666666665,174.401666666665,146.416666666668
137.531666666662,79.9816666666667,111.876666666664,103.82,153.016666666667,103.643333333336,103.936666666668,102.425000000001,162.153333333329,157.451666666664,211.185,198.316666666669
171.159999999998,83.0066666666691,123.873333333332,104.670000000003,185.604999999994,108.128333333336,112.163333333331,107.798333333331,229.906666666667,159.416666666668,229.690000000001,199.956666666666
275.491666666668,83.3333333333333,237.221666666668,105.569999999996,219.356666666666,110.494999999999,131.913333333334,110.574999999998,243.328333333333,165.226666666668,240.626666666662,203.523333333336
275.506666666668,90.8866666666654,239.744999999997,106.626666666671,246.598333333335,115.56666666667,132.758333333334,137.695,252.508333333337,190.831666666668,271.714999999998,227.181666666669
282.745,96.9266666666689,258.360000000001,113.566666666668,297.550000000001,119.411666666667,156.121666666665,147.228333333332,286.998333333334,209.721666666667,291.11,231.696666666668
292.531666666669,105.036666666668,291.071666666668,114.715000000001,307.76,123.065000000001,251.638333333335,149.17,295.204999999999,212.264999999998,306.93,256.641666666663
315.226666666664,110.814999999999,298.386666666666,118.013333333333,316.358333333335,134.946666666667,289.966666666669,158.841666666668,316.903333333335,233.233333333332,342.161666666667,266.383333333332
339.095000000001,135.241666666669,358.661666666664,123.006666666667,332.715,218.553333333333,299.356666666665,172.16,323.084999999999,275.826666666664,349.180000000001,285.886666666666
344.203333333333,366.338333333336,361.106666666668,137.231666666666,344.103333333332,249.091666666664,324.373333333332,265.856666666669,323.334999999997,331.431666666667,357.171666666667,322.778333333334
